timestamp,frame_number,status,method,contour_count,person_count
2026-07-09 09:59:29.125,838,MOTION DETECTED,Background Subtraction (KNN),29,29
2026-07-09 09:59:29.154,839,MOTION DETECTED,Background Subtraction (KNN),25,25
2026-07-09 09:59:29.189,840,MOTION DETECTED,Background Subtraction (KNN),25,25
2026-07-09 09:59:29.223,841,MOTION DETECTED,Background Subtraction (KNN),28,28
2026-07-09 09:59:29.254,842,MOTION DETECTED,Background Subtraction (KNN),27,27
2026-07-09 09:59:29.289,843,MOTION DETECTED,Background Subtraction (KNN),27,27
2026-07-09 09:59:29.315,844,MOTION DETECTED,Background Subtraction (KNN),28,28
2026-07-09 09:59:29.350,845,MOTION DETECTED,Background Subtraction (KNN),26,26
2026-07-09 09:59:29.394,846,MOTION DETECTED,Background Subtraction (KNN),26,26
2026-07-09 09:59:29.424,847,MOTION DETECTED,Background Subtraction (KNN),26,26
2026-07-09 09:59:29.455,848,MOTION DETECTED,Background Subtraction (KNN),23,23
2026-07-09 09:59:29.487,849,MOTION DETECTED,Background Subtraction (KNN),25,25
2026-07-09 09:59:29.532,850,MOTION DETECTED,Background Subtraction (KNN),28,28
2026-07-09 09:59:29.576,851,MOTION DETECTED,Background Subtraction (KNN),26,26
2026-07-09 09:59:29.607,852,MOTION DETECTED,Background Subtraction (KNN),26,26
2026-07-09 09:59:29.638,853,MOTION DETECTED,Background Subtraction (KNN),24,24
2026-07-09 09:59:29.680,854,MOTION DETECTED,Background Subtraction (KNN),25,25
2026-07-09 09:59:29.708,855,MOTION DETECTED,Background Subtraction (KNN),27,27
2026-07-09 09:59:29.740,856,MOTION DETECTED,Background Subtraction (KNN),25,25
2026-07-09 09:59:29.775,857,MOTION DETECTED,Background Subtraction (KNN),24,24
2026-07-09 09:59:29.809,858,MOTION DETECTED,Background Subtraction (KNN),25,25
2026-07-09 09:59:29.847,859,MOTION DETECTED,Background Subtraction (KNN),23,23
2026-07-09 09:59:29.875,860,MOTION DETECTED,Background Subtraction (KNN),23,23
2026-07-09 09:59:29.922,861,MOTION DETECTED,Background Subtraction (KNN),23,23
2026-07-09 09:59:29.945,862,MOTION DETECTED,Background Subtraction (KNN),23,23
2026-07-09 09:59:29.999,863,MOTION DETECTED,Background Subtraction (KNN),24,24
2026-07-09 09:59:30.030,864,MOTION DETECTED,Background Subtraction (KNN),23,23
2026-07-09 09:59:30.065,865,MOTION DETECTED,Background Subtraction (KNN),22,22
2026-07-09 09:59:30.095,866,MOTION DETECTED,Background Subtraction (KNN),26,26
2026-07-09 09:59:30.126,867,MOTION DETECTED,Background Subtraction (KNN),26,26
2026-07-09 09:59:30.163,868,MOTION DETECTED,Background Subtraction (KNN),24,24
2026-07-09 09:59:30.196,869,MOTION DETECTED,Background Subtraction (KNN),24,24
2026-07-09 09:59:30.260,870,MOTION DETECTED,Background Subtraction (KNN),24,24
2026-07-09 09:59:30.295,871,MOTION DETECTED,Background Subtraction (KNN),26,26
2026-07-09 09:59:30.329,872,MOTION DETECTED,Background Subtraction (KNN),23,23
2026-07-09 09:59:30.365,873,MOTION DETECTED,Background Subtraction (KNN),20,20
2026-07-09 09:59:30.401,874,MOTION DETECTED,Background Subtraction (KNN),25,25
2026-07-09 09:59:30.430,875,MOTION DETECTED,Background Subtraction (KNN),26,26
